freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1.0000186E+006	7.0774506E+001	3.6032883E+001
7.9167906E+005	6.1069469E+001	2.9662239E+001
6.2676294E+005	5.7108543E+001	2.3239368E+001
4.9619581E+005	5.5193684E+001	1.7856125E+001
3.9282400E+005	5.4626572E+001	1.3742117E+001
3.1099688E+005	5.4059181E+001	1.0445067E+001
2.4620509E+005	5.3989841E+001	7.8337512E+000
1.9492280E+005	5.4035194E+001	5.6651878E+000
1.5431080E+005	5.4161495E+001	3.8272069E+000
1.2217006E+005	5.4396191E+001	2.4997270E+000
9.6719125E+004	5.4761055E+001	1.4050350E+000
7.6566211E+004	5.5006245E+001	7.2217727E-001
6.0616465E+004	5.5424229E+001	2.6943153E-001
4.7988422E+004	5.5686134E+001	-9.0822868E-002
3.8014027E+004	5.5884029E+001	-3.6352643E-001
3.0080912E+004	5.6150242E+001	-6.3588524E-001
2.3808643E+004	5.6492123E+001	-7.8240138E-001
1.8853918E+004	5.6643497E+001	-7.3602605E-001
1.4929112E+004	5.6645798E+001	-6.9878936E-001
1.1811533E+004	5.6916412E+001	-8.2877845E-001
9.3549238E+003	5.7109009E+001	-8.3241451E-001
7.5403110E+003	5.7233475E+001	-8.2389003E-001
5.8880977E+003	5.7389122E+001	-7.6692086E-001
4.6414854E+003	5.7406990E+001	-7.6089382E-001
3.6761763E+003	5.7551674E+001	-7.6596260E-001
2.9109316E+003	5.7536633E+001	-7.6418310E-001
2.3027896E+003	5.7819691E+001	-7.6692355E-001
1.8232498E+003	5.7771999E+001	-7.7086306E-001
1.4436138E+003	5.7838936E+001	-9.1502082E-001
1.1424408E+003	5.7983376E+001	-7.9405254E-001
9.0528955E+002	5.8212135E+001	-8.3217031E-001
7.1614563E+002	5.8236588E+001	-9.5947337E-001
5.6736023E+002	5.8413368E+001	-9.8726875E-001
4.4899423E+002	5.8496372E+001	-9.7786081E-001
3.5556894E+002	5.8561928E+001	-1.0443021E+000
2.8153149E+002	5.8815319E+001	-1.2310840E+000
2.2278993E+002	5.9089409E+001	-1.2347624E+000
1.7641125E+002	5.9270454E+001	-1.4033070E+000
1.3968707E+002	5.9355942E+001	-1.3177054E+000
1.1045951E+002	5.9558819E+001	-1.6560189E+000
8.7453354E+001	5.9714550E+001	-1.7688520E+000
6.9312424E+001	6.0020763E+001	-1.8498921E+000
5.4877075E+001	6.0294331E+001	-1.9376361E+000
4.3402779E+001	6.0523064E+001	-2.1284549E+000
3.4394650E+001	6.0708977E+001	-2.1467390E+000
2.7202301E+001	6.1226742E+001	-2.3192225E+000
2.1551723E+001	6.1644894E+001	-2.4423394E+000
1.7057858E+001	6.2027309E+001	-2.7894294E+000
1.3500864E+001	6.2374775E+001	-2.8367085E+000
1.0687415E+001	6.2700642E+001	-3.0617125E+000
8.4550838E+000	6.3035858E+001	-3.1266031E+000
6.7002573E+000	6.3734230E+001	-3.3318629E+000
5.3074050E+000	6.4138557E+001	-3.7111504E+000
4.2002687E+000	6.4547821E+001	-3.8931201E+000
3.3272998E+000	6.5192909E+001	-4.1256709E+000
2.6304717E+000	6.5829117E+001	-4.4369330E+000
2.0822227E+000	6.6532799E+001	-4.8093195E+000
1.6482069E+000	6.7070999E+001	-5.3090429E+000
1.3068749E+000	6.7851082E+001	-5.6194668E+000
1.0344945E+000	6.8650826E+001	-5.9841375E+000
8.1823438E-001	6.9401642E+001	-6.4370761E+000
6.4737320E-001	7.0540947E+001	-6.8784709E+000
5.1303518E-001	7.1708054E+001	-7.3786516E+000
4.0630850E-001	7.2712570E+001	-8.1796770E+000
3.2144913E-001	7.3732376E+001	-8.8669119E+000
2.5471115E-001	7.4691986E+001	-9.4667253E+000
2.0170659E-001	7.5951019E+001	-1.0058784E+001
1.5959513E-001	7.7433334E+001	-1.0764402E+001
1.2620345E-001	7.8930382E+001	-1.1710127E+001
9.9904113E-002	8.0467506E+001	-1.2692516E+001
